image,roi,item_id,count
credit_trade/1.png,"[70,95,1140,415]",item_expcard_stage2_low,1
credit_trade/1.png,"[70,95,1140,415]",item_weapon_break_low,1
credit_trade/1.png,"[70,95,1140,415]",item_weapon_expcard_mid,1
credit_trade/10.png,"[70,95,1140,415]",item_char_skill_level_1_6,1
credit_trade/10.png,"[70,95,1140,415]",item_char_skill_level_7_12,1
credit_trade/10.png,"[70,95,1140,415]",item_expcard_stage1_low,1
credit_trade/10.png,"[70,95,1140,415]",item_expcard_stage2_low,1
credit_trade/10.png,"[70,95,1140,415]",item_gold,5
credit_trade/11.png,"[70,95,1140,415]",item_char_skill_level_1_6,1
credit_trade/11.png,"[70,95,1140,415]",item_char_skill_level_7_12,1
credit_trade/11.png,"[70,95,1140,415]",item_expcard_stage2_low,2
credit_trade/11.png,"[70,95,1140,415]",item_gachabyproducts_weapongold,1
credit_trade/11.png,"[70,95,1140,415]",item_gold,3
credit_trade/11.png,"[70,95,1140,415]",item_weapon_break_low,1
credit_trade/11.png,"[70,95,1140,415]",item_weapon_expcard_mid,1
credit_trade/12.png,"[70,95,1140,415]",item_char_skill_level_1_6,1
credit_trade/12.png,"[70,95,1140,415]",item_char_skill_level_7_12,1
credit_trade/12.png,"[70,95,1140,415]",item_expcard_stage2_low,2
credit_trade/12.png,"[70,95,1140,415]",item_gold,3
credit_trade/12.png,"[70,95,1140,415]",item_weapon_break_low,1
credit_trade/12.png,"[70,95,1140,415]",item_weapon_expcard_mid,1
credit_trade/13.png,"[70,95,1140,415]",item_char_skill_level_1_6,4
credit_trade/13.png,"[70,95,1140,415]",item_char_skill_level_7_12,3
credit_trade/13.png,"[70,95,1140,415]",item_diamond,1
credit_trade/13.png,"[70,95,1140,415]",item_gold,2
credit_trade/14.png,"[70,95,1140,415]",item_char_skill_level_1_6,4
credit_trade/14.png,"[70,95,1140,415]",item_char_skill_level_7_12,3
credit_trade/14.png,"[70,95,1140,415]",item_gold,2
credit_trade/2.png,"[70,95,1140,415]",item_char_skill_level_7_12,2
credit_trade/2.png,"[70,95,1140,415]",item_diamond,1
credit_trade/2.png,"[70,95,1140,415]",item_expcard_stage1_mid,1
credit_trade/2.png,"[70,95,1140,415]",item_expcard_stage2_low,1
credit_trade/2.png,"[70,95,1140,415]",item_gold,3
credit_trade/2.png,"[70,95,1140,415]",item_weapon_expcard_low,1
credit_trade/2.png,"[70,95,1140,415]",item_weapon_expcard_mid,1
credit_trade/3.png,"[70,95,1140,415]",item_char_break_stage_3_4,1
